name2	chrom	f10.AMYGDALA_CTRL_1	f10.AMYGDALA_CTRL_2	f10.AMYGDALA_FEAR_1	f10.AMYGDALA_FEAR_2	f10.CORTEX_CTRL_1	f10.CORTEX_CTRL_2	f10.CORTEX_FEAR_1	f10.CORTEX_FEAR_2	f10.AMYGDALA_ERRB4_KO_1	f10.AMYGDALA_ERRB4_KO_2	f10.AMYGDALA_ERRB4_KO_3	f10.AMYGDALA_ERRB4_WT_1	f10.AMYGDALA_ERRB4_WT_2	f10.CORTEX_ERRB4_KO_1	f10.CORTEX_ERRB4_KO_2	f10.CORTEX_ERRB4_KO_3	f10.CORTEX_ERRB4_WT_1	f10.CORTEX_ERRB4_WT_2
Evx2	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd13	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd12	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd11	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd10	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd9	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd8	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd3	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd3os1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd4	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir10b	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102634401	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haglr	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtx2	chr2	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0
9430019J16Rik	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnpa3	chr2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Gm6793	chr2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Nfe2l2	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agps	chr2	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Ttc30b	chr2	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1
Ttc30a2	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc30a1	chr2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
Pde11a	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyct	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm45	chr2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0
Osbpl6	chr2	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1
Prkra	chr2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dfnb59	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp7	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Plekha3	chr2	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0
Ttn	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc141	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sestd1	chr2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1
Gm13944	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp385b	chr2	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1
Cwc22	chr2	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1
4930440I19Rik	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14461	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2e3	chr2	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Itga4	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Cerkl	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Neurod1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssfa2	chr2	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Ppp1r1c	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde1a	chr2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Prdx6b	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc10	chr2	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Gm13752	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frzb	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nckap1	chr2	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Dusp19	chr2	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Nup35	chr2	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Zfp804a	chr2	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1
Zc3h15	chr2	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Itgav	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam171b	chr2	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1
Zswim2	chr2	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1
Calcrl	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfpi	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13710	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctnnd1	chr2	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Btbd18	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700094K13Rik	chr2	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1
Tmx2	chr2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Med19	chr2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Zdhhc5	chr2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Clp1	chr2	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Ypel4	chr2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Mir130a	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serping1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2l6	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Smtnl1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timm10	chr2	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1
Slc43a1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtn4rl2	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc43a3	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prg2	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prg3	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx3	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssrp1	chr2	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Tnks1bp1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930443O20Rik	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplnr	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc55	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr987	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr988	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr992	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr993	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr994	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr995	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833423E24Rik	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr996	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr998	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1000	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1002	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr154	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1006	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1008	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1009	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1010	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1012	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1013	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1014	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1015	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1016	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1018	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1019	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1020	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1022	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1023	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1024	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1026	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1028	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1029	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1030	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1031	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1032	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1033	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1034	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1036	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1037	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1038-ps	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1039	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1040	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1042	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1043	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1044	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr52	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1045	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1046	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1047	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1048	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1049	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1051	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1052	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1053	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1054	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1055	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1056	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1057	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1058	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1061	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1062	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1065	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1066	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr228	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1076	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1077-ps1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1079	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1080	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1082	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1084	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1085	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1086	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1087	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1089	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1090	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1093	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr141	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1094	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1095	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1097	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1098	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1099	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1100	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1101	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1102	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1104	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1105	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1106	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1107	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1109	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr259	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1110	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1111	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1112	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1113	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1115	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1116	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1118	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1120	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1121	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1122	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1123	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1124	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1126	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel7	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel6	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr153	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1128	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1129	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1130	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1131	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1132	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1133	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1134	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1135	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1136	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1137	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1138	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1140	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1141	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr152	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1143	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1145	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1148	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1151	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1152	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1153	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1154	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1155	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1156	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1157	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr74	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1158	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1160	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1161	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr73	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1162	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1163	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1164	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1166	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1167	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1168	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1170	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1173	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1176	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1178	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1179	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1180	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1181	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1182	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1183	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1184	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1186	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1188	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1189	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1193	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1195	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1196	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1197	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1198	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1199	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1200	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1201	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1202	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1205	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1204	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1206	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1208	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1209	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1211	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1212	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1213	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1214	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1215	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1216	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1217	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1218	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1219	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1220	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1221	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1222	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1223	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1225	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1226	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1228	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1229	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1230	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1231	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1232	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1233	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1234	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1238	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1239	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1240	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1241	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1242	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1243	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1245	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1246	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1247	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1248	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1249	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1250	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1251	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1252	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1253	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1254	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1255	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
